frame,row_id,type,landmark_index,x,y,z
2,2_pose_0,pose,0,0.4745556116104126,0.24840566515922546,-0.7111024260520935
2,2_pose_1,pose,1,0.4921967089176178,0.20622268319129944,-0.6727279424667358
2,2_pose_2,pose,2,0.5023408532142639,0.20595140755176544,-0.6729992628097534
2,2_pose_3,pose,3,0.5122997760772705,0.20571446418762207,-0.6732147336006165
2,2_pose_4,pose,4,0.4556519687175751,0.20787903666496277,-0.668910562992096
2,2_pose_5,pose,5,0.4441901743412018,0.20890727639198303,-0.6687636375427246
2,2_pose_6,pose,6,0.43500393629074097,0.21019168198108673,-0.6690842509269714
2,2_pose_7,pose,7,0.5307632088661194,0.23574897646903992,-0.41237613558769226
2,2_pose_8,pose,8,0.4242754578590393,0.24277254939079285,-0.384509801864624
2,2_pose_9,pose,9,0.4979012608528137,0.3015495836734772,-0.6122983694076538
2,2_pose_10,pose,10,0.4518987536430359,0.301399290561676,-0.6048240065574646
2,2_pose_11,pose,11,0.6125897169113159,0.5638786554336548,-0.24097798764705658
2,2_pose_12,pose,12,0.35952603816986084,0.5358547568321228,-0.20984254777431488
2,2_pose_13,pose,13,0.6293692588806152,0.902752161026001,-0.16834492981433868
2,2_pose_14,pose,14,0.3287159502506256,0.8636823296546936,-0.11173739284276962
2,2_pose_15,pose,15,0.6514639258384705,1.179344892501831,-0.4076375663280487
2,2_pose_16,pose,16,0.3162633776664734,1.1356762647628784,-0.40004050731658936
2,2_pose_17,pose,17,0.6703901886940002,1.2671016454696655,-0.4840414822101593
2,2_pose_18,pose,18,0.3086811602115631,1.2249510288238525,-0.48268648982048035
2,2_pose_19,pose,19,0.65125572681427,1.2643200159072876,-0.5424979329109192
2,2_pose_20,pose,20,0.3243735134601593,1.2144818305969238,-0.5545262694358826
2,2_pose_21,pose,21,0.6382694840431213,1.2248166799545288,-0.4421514570713043
2,2_pose_22,pose,22,0.3321447968482971,1.1798975467681885,-0.4400336444377899
2,2_pose_23,pose,23,0.5689936280250549,1.1759586334228516,-0.045455481857061386
2,2_pose_24,pose,24,0.39823442697525024,1.1732152700424194,0.04789800941944122
2,2_pose_25,pose,25,0.555500328540802,1.647232174873352,0.02530122734606266
2,2_pose_26,pose,26,0.3953167200088501,1.638596534729004,0.06622431427240372
2,2_pose_27,pose,27,0.5492106676101685,2.0519654750823975,0.5495558381080627
2,2_pose_28,pose,28,0.3907988369464874,2.057427406311035,0.4920695126056671
2,2_pose_29,pose,29,0.5532414317131042,2.128567695617676,0.5797218680381775
2,2_pose_30,pose,30,0.3895969092845917,2.1377553939819336,0.5221864581108093
2,2_pose_31,pose,31,0.5226662755012512,2.190481424331665,0.210471972823143
2,2_pose_32,pose,32,0.4128294289112091,2.1917755603790283,0.11164451390504837
4,4_pose_0,pose,0,0.47462764382362366,0.2466239482164383,-0.7660406827926636
4,4_pose_1,pose,1,0.49228864908218384,0.20599257946014404,-0.7245157957077026
4,4_pose_2,pose,2,0.5028796792030334,0.20587146282196045,-0.7248221635818481
4,4_pose_3,pose,3,0.5124866366386414,0.20566414296627045,-0.7249186635017395
4,4_pose_4,pose,4,0.45564794540405273,0.20726819336414337,-0.7228072285652161
4,4_pose_5,pose,5,0.44417980313301086,0.20828616619110107,-0.7228406667709351
4,4_pose_6,pose,6,0.4351234436035156,0.20937593281269073,-0.7232546806335449
4,4_pose_7,pose,7,0.5308994650840759,0.23529814183712006,-0.44828274846076965
4,4_pose_8,pose,8,0.4243505001068115,0.2421034872531891,-0.4313073456287384
4,4_pose_9,pose,9,0.4986882209777832,0.30137524008750916,-0.6625611782073975
4,4_pose_10,pose,10,0.452194482088089,0.3017781376838684,-0.658069372177124
4,4_pose_11,pose,11,0.6129513382911682,0.5618154406547546,-0.2648022472858429
4,4_pose_12,pose,12,0.35910844802856445,0.5360091924667358,-0.2504642903804779
4,4_pose_13,pose,13,0.6294770836830139,0.9009130597114563,-0.20328570902347565
4,4_pose_14,pose,14,0.3288097083568573,0.8658410906791687,-0.1620791107416153
4,4_pose_15,pose,15,0.6447278261184692,1.1746793985366821,-0.47550663352012634
4,4_pose_16,pose,16,0.31982842087745667,1.131028413772583,-0.4645831286907196
4,4_pose_17,pose,17,0.6598095297813416,1.261583924293518,-0.5575041770935059
4,4_pose_18,pose,18,0.31484976410865784,1.221360206604004,-0.5528082251548767
